date,type,type_short,label,amount,category,sub_category,comments
2021/01/25,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/250121 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1303353260,"-19,99 €",Abonnements,Abonnement Mobile,
2021/02/24,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/240221 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1318336745,"-19,99 €",Abonnements,Abonnement Mobile,
2021/03/24,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/240321 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1333066500,"-19,99 €",Abonnements,Abonnement Mobile,
2021/04/21,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/210421 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1346925589,"-19,99 €",Abonnements,Abonnement Mobile,
2021/05/25,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/250521 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1363130992,"-19,99 €",Abonnements,Abonnement Mobile,
2021/06/23,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/230621 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1378125734,"-19,99 €",Abonnements,Abonnement Mobile,
2021/07/21,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/210721 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1392702008,"-21,99 €",Abonnements,Abonnement Mobile,
2021/08/23,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/230821 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1408347503,"-21,99 €",Abonnements,Abonnement Mobile,
2021/02/10,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 070221 EPOCH  *TECOMLT CARTE   4974XXXXXXXX7803                CYP    49,99EUR","-49,99 €",Abonnements,Abonnement ponctuel,
2021/05/18,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150521 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    16,42EUR","-16,42 €",Abonnements,Abonnement ponctuel,
2021/05/18,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150521 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    31,03EUR","-31,03 €",Abonnements,Abonnement ponctuel,
2021/06/17,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150621 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    16,50EUR","-16,50 €",Abonnements,Abonnement ponctuel,
2021/06/17,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150621 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    31,18EUR","-31,18 €",Abonnements,Abonnement ponctuel,
2021/06/23,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 170621 GLOBAL-E        CARTE   4974XXXXXXXX7803                GBR   210,00EUR","-210,00 €",Abonnements,Abonnement ponctuel,
2021/07/19,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150721 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    16,62EUR","-16,62 €",Abonnements,Abonnement ponctuel,
2021/07/19,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150721 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    31,39EUR","-31,39 €",Abonnements,Abonnement ponctuel,
2021/08/17,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150821 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    16,66EUR","-16,66 €",Abonnements,Abonnement ponctuel,
2021/08/17,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150821 VENDOSTORE*GROO CARTE   4974XXXXXXXX7803                CHE    31,48EUR","-31,48 €",Abonnements,Abonnement ponctuel,
2020/09/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150920 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2020/09/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280920 NETFLIX COM     COURBEVOIE      CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2020/10/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 151020 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2020/10/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 281020 NETFLIX COM     COURBEVOIE      CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2020/11/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 151120 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2020/11/30,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 281120 NETFLIX COM     COURBEVOIE      CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2020/12/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 151220 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2020/12/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 281220 NETFLIX COM     COURBEVOIE      CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/01/18,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150121 DEEZER FR       PARIS           CARTE   4974XXXXXXXX7803,"-9,99 €",Abonnements,Abonnement streaming,
2021/01/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280121 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/02/16,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150221 DEEZER FR       PARIS           CARTE   4974XXXXXXXX7803,"-9,99 €",Abonnements,Abonnement streaming,
2021/03/01,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280221 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/03/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150321 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2021/03/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280321 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/04/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150421 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2021/04/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280421 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/05/17,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150521 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2021/05/31,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280521 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/06/16,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150621 DEEZER          PARIS           CARTE   4974XXXXXXXX7803,"-9,99 €",Abonnements,Abonnement streaming,
2021/06/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280621 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/07/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 150721 DEEZERFR        CARTE   4974XXXXXXXX7803                FRA     9,99EUR","-9,99 €",Abonnements,Abonnement streaming,
2021/07/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280721 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2021/08/30,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 280821 NETFLIX COM     PARIS           CARTE   4974XXXXXXXX7803,"-7,99 €",Abonnements,Abonnement streaming,
2020/09/16,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150920 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-31,89 €",Loisirs,Alimentation,
2020/10/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 281020 COTE SUSHI      ENGHIEN LES B   CARTE   4974XXXXXXXX7803,"-42,90 €",Loisirs,Alimentation,
2020/11/04,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 031120 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-24,40 €",Loisirs,Alimentation,
2020/11/12,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 101120 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-25,90 €",Loisirs,Alimentation,
2020/11/20,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 191120 DELIVEROO.FR    CARTE   4974XXXXXXXX7803                FRA    26,39EUR","-26,39 €",Loisirs,Alimentation,
2020/12/07,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 041220 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-25,85 €",Loisirs,Alimentation,
2020/12/08,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 071220 MIMIC           ENGHIEN-LES-B   CARTE   4974XXXXXXXX7803,"-82,60 €",Loisirs,Alimentation,
2020/12/29,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 251220 SC-LES DELICES  DEUIL LA BARR   CARTE   4974XXXXXXXX7803,"-5,00 €",Loisirs,Alimentation,
2021/02/08,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 060221 DELIVEROO.FR    CARTE   4974XXXXXXXX7803                FRA    26,30EUR","-26,30 €",Loisirs,Alimentation,
2021/03/02,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 010321 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-25,70 €",Loisirs,Alimentation,
2021/03/29,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 270321 STEP ONE SAS    CARTE   4974XXXXXXXX7803                FRA    35,00EUR","-35,00 €",Loisirs,Alimentation,
2021/04/16,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150421 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-23,05 €",Loisirs,Alimentation,
2021/04/27,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 260421 DELIVEROO.FR    09 PARIS 09     CARTE   4974XXXXXXXX7803,"-24,20 €",Loisirs,Alimentation,
2021/06/22,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 190621 DELIVEROO       CARTE   4974XXXXXXXX7803                FRA    22,50EUR","-22,50 €",Loisirs,Alimentation,
2021/08/09,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 060821 DELIVEROO       09 PARIS 09     CARTE   4974XXXXXXXX7803,"-25,80 €",Loisirs,Alimentation,
2020/10/01,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/011020 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862018122104680407CDIF REF/S 030104778           0920088505 LIB/S 030104778           0920,"-800,00 €",Épargne,Assurance vie,
2020/11/02,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/021120 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862018122104680407CDIF REF/S 030104778           1020582630 LIB/S 030104778           1020,"-800,00 €",Épargne,Assurance vie,
2021/04/01,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/010421 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0321323269 LIB/S 030104778           0321,"-800,00 €",Épargne,Assurance vie,
2021/05/03,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/030521 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0421048563 LIB/S 030104778           0421,"-800,00 €",Épargne,Assurance vie,
2021/06/01,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/010621 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0521594316 LIB/S 030104778           0521,"-800,00 €",Épargne,Assurance vie,
2021/07/01,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/010721 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0621587710 LIB/S 030104778           0621,"-800,00 €",Épargne,Assurance vie,
2021/08/02,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/020821 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0721555496 LIB/S 030104778           0721,"-800,00 €",Épargne,Assurance vie,
2021/09/01,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/010921 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862021032405235382CDIF REF/S 030104778           0821562324 LIB/S 030104778           0821,"-800,00 €",Épargne,Assurance vie,
2021/03/30,PRELEVEMENT,PRLV SEPA,PRLV SEPA AVIVA ASSURANCES ECH/300321 ID EMETTEUR/FR63ZZZ205389 MDT/VAAIV3445142 REF/10100043824444WPTBA LIB/PRLV AVIVA ASSURANCE COUCHENEY NICOLAS 503023 30032021,"-196,00 €",Assurance,Aviva,
2020/10/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/051020 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         051020375202 LIB/BP035196601         051020,"-9,90 €",Assurance,Banque,
2020/10/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/071020 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ18FMU0URZJABBJA LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2020/11/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/051120 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         051120381089 LIB/BP035196601         051120,"-9,90 €",Assurance,Banque,
2020/11/06,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/061120 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ18LYQG8VA31DA7O LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2020/11/12,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/121120 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020110305121800CDIF REF/L 030566332         0211000439 LIB/L 030566332         0211,"-20,00 €",Assurance,Banque,
2020/11/18,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/181120 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020110305121800CDIF REF/L 030566332         0611003394 LIB/L 030566332         0611,"-30,00 €",Assurance,Banque,
2020/12/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/071220 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ18SID9N4R5JFKSH LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2020/12/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/071220 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         051220369704 LIB/BP035196601         051220,"-9,90 €",Assurance,Banque,
2021/01/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050121 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050121374413 LIB/BP035196601         050121,"-9,90 €",Assurance,Banque,
2021/01/08,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/080121 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ18Z1QPI8V2Z8UNR LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/02/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/050221 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ19566LPIZOMOZCO LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/02/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050221 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050221366061 LIB/BP035196601         050221,"-9,90 €",Assurance,Banque,
2021/03/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/050321 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ19B2XFARBMO707V LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/03/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050321 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050321363179 LIB/BP035196601         050321,"-9,90 €",Assurance,Banque,
2021/04/06,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/060421 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050421364764 LIB/BP035196601         050421,"-9,90 €",Assurance,Banque,
2021/04/08,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/080421 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ19I1MYW0I9SPQFM LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/05/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050521 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050521358861 LIB/BP035196601         050521,"-9,90 €",Assurance,Banque,
2021/05/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/070521 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ19ODK79O3GAPTU2 LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/06/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/070621 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ19UWZQ5YXHOSBSF LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/06/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/070621 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050621358233 LIB/BP035196601         050621,"-9,90 €",Assurance,Banque,
2021/07/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050721 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050721357885 LIB/BP035196601         050721,"-9,90 €",Assurance,Banque,
2021/07/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/070721 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ1A18ZIAZ7ZJ8QWF LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/08/05,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/050821 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050821367100 LIB/BP035196601         050821,"-9,90 €",Assurance,Banque,
2021/08/06,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/060821 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ1A7KSUKOWPSBJ4T LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/09/06,PRELEVEMENT,PRLV SEPA,PRLV SEPA CARDIF ASSURANCE VIE ECH/060921 ID EMETTEUR/FR28ZZZ110086 MDT/FR28ZZZ1100862020042305013835CDIF REF/BP035196601         050921364917 LIB/BP035196601         050921,"-9,90 €",Assurance,Banque,
2021/09/07,PRELEVEMENT,PRLV SEPA,PRLV SEPA BNP PARIBAS ECH/070921 ID EMETTEUR/FR94NOM001228 MDT/NOM3000401573NOM0002560320180130000 REF/09139129ZZ1AEC0PQFCPPPAQQ LIB/ASSURANCE NOMADE,"-9,41 €",Assurance,Banque,
2021/02/16,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 150221 CLOP AND CO     MONDEVILLE      CARTE   4974XXXXXXXX7803,"-51,50 €",Tabac,Cigarette électronique,
2021/08/18,PAIEMENT CB,FACTURE CARTE,FACTURE CARTE DU 170821 CLOPINETTE ENGH ENGHIEN LES B   CARTE   4974XXXXXXXX7803,"-150,60 €",Tabac,Cigarette électronique,
2020/10/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2020/11/02,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2020/12/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/01/04,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/02/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/03/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR. PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/04/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/05/03,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/05/24,VIREMENT INSTANTANE EMIS,VIR SEPA INST EMIS,VIR SEPA INST EMIS /MOTIF ALIM /BEN BINANCE /REFDO 393C6CD37AA04460BFB4B3B571598DAB /REFBEN ZZ19TFVJ4KL3ESF33,"-500,00 €",Maison,Contribution maison,
2021/06/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/07/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/08/02,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2021/09/01,VIREMENT,VIREMENT FAVEUR TIERS,VIREMENT FAVEUR TIERS VR.PERMANENT PARTICIPATION MAISON,"-350,00 €",Maison,Contribution maison,
2020/10/02,COMMISSIONS,COMMISSIONS,COMMISSIONS COTISATION A UNE OFFRE GROUPEE DE SERVICES ESPRIT LIBRE,"-16,91 €",Banque,Cotisation et frais,
2020/10/13,OPERATIONS DIVERSES,OPERATIONS DIVERSES,OPERATIONS DIVERSES FRAIS DE GESTION BOURSE,"-27,84 €",Banque,Cotisation et frais,
